name,facet,segment,novel,v1_match,n_docs,n_B,n_G,grounded,groups,variants,definition,evidence,docs
surface maintenance,metric,G∩B,False,Smoothness,1,1,1,1.00,design parameters | InfrastructuralMetric,surface maintenance,The frequency and quality of pavement upkeep required to ensure safety for vulnerable road users.,"Beyond the parameters considered in a normal bus lane, designing a SBBL should add parameters that diminish the probability of interaction between the bicycle and bus flow (Reid & Guthrie, 2004; Baumann, Brennan & Zeibots, 2012; Pucher & Buehler, 2012; Frings, Parkin & Ridley, 2014) such as, the cyc",W2777700178
Theil index,metric,B∖G,True,,1,1,0,1.00,Equity metrics,Theil index,A measure that decomposes accessibility disparities into within-group and between-group components.,The Palma ratio con - trasts accessibility shares between the most and least advantaged groups; the Theil index decomposes disparities into within- and between-group components; and the Concen - tration Index reveals whether accessibility patterns are pro-rich or pro-poor.,W7158934745
Traffic control devices and speed limiting measures,metric,B∖G,True,,1,1,0,1.00,Safety,Traffic control devices and speed limiting measures,This indicator tracks the location of devices designed to manage traffic speeds and improve safety for vulnerable road users.,Indicator Necessary data Impact Reference 1 Traffic control devices and speed limiting measures A dataset on locations of such devices and measures.,W4402615958
Traffic speed,metric,G∩B,False,TrafficCondition,1,1,1,1.00,ContextualMetric | Safety,Traffic speed,"This indicator tracks speed limits on roads, as higher speeds are associated with lower probabilities of children cycling.","The most commonly cited aspect of traffic safety seems to be the maximum traffic speed, which is measured on the roads that run alongside or cross bicycle paths.",W4402615958
Trafﬁc,metric,B∖G,True,,1,1,0,1.00,Safety,Trafﬁc,"These indicators measure traffic volume, speed, and composition to determine the level of stress or service for cyclists.","Table 5 presents the set of objective and subjective indicators that characterize and evaluate each of the criteria in this domain • Trafﬁc: The objective indicators used in bikeability indexes that make up the “trafﬁc” criterion are related to the volume of trafﬁc [7,10,20], the speed limit [10,17]",W3129869580
Traﬃc enforcement,metric,B∖G,True,,1,1,0,1.00,Infrastructure,Traﬃc enforcement,"The use of signs, signals, and markings to regulate traffic and provide guidance to cyclists.","Traﬃc signs, signals and road markings are a vital part of a given road’s infrastructure, because they act to control and regulate the traﬃc system [97].",W3015673663
Trip-End Facility,metric,B∖G,True,,1,1,0,1.00,Infrastructure,Trip-End Facility,"Facilities located at the destination of a trip, such as parking or showers, that influence the decision to cycle.","Trip-End Facility Trip-end facilities can encourage cyclists and improve their comfort levels; however, few studies have included the eﬀects of this facility on BLOS studies.",W3015673663
trójk¹ty widocznoœci,metric,G∩B,False,SightTriangle,1,1,1,0.00,InfrastructuralMetric | widocznoœæ,trójk¹ty widocznoœci,A geometric area at crossings that must be kept free of obstacles to ensure road users can see each other.,Pole widocznoœci wyznacza siê za pomoc¹ tzw. trójk¹tów widocznoœci.,W3149601746
Type of bicycle infrastructure,metric,B∖G,True,,1,1,0,1.00,Cycling infrastructure,Type of bicycle infrastructure,"This indicator distinguishes between different physical configurations of cycling facilities, such as shared streets versus physically separated paths.","The typology should be based on the built characteristics (shared street, bicycle lane, shared or exclusive bicycle path), rather than on the use type (main vs local network).",W4402615958
Typology,metric,B∖G,True,,1,1,0,1.00,Cycle Infrastructure,Typology,"This indicator classifies infrastructure based on the degree of separation from other traffic, such as shared lanes versus dedicated paths.","Regarding the typology, the indicators to characterize this criterion are based both on the level of segregation and on the exclusive use of infrastructure [10,13,19], namely “shared lanes”, “bicycle lanes”, and “bicycle paths”.",W3129869580
Visitors/permanent users,metric,B∖G,True,,1,1,0,0.00,Qualitative design standards,Visitors/permanent users,A classification of parking based on the user type.,Visitors/permanent users,W4393006393
walkable catchment,metric,B∖G,True,,1,2,0,1.00,Access Sheds and Networks,bike sheds | walkable catchment,The distance a person is willing to walk to reach a transit stop or station.,"Planners also talk about pedestrian sheds, walk sheds, walkable catchment (the distance a person will walk), and bike sheds (the distance a person will bicycle).",W2758447314
wayfinding,metric,G∖B,False,Navigability,1,0,1,1.00,InfrastructuralMetric,wayfinding,Signage and visual cues that help transit users navigate to and through transit stations.,Wayfinding Wayfinding signs and street markings that direct bicyclists to transit are a useful way of connecting bicyclists with transit.,W2758447314
Weight,metric,B∖G,True,,1,1,0,1.00,,Weight,Weighting is a mechanism to reflect the varying importance of different metrics or criteria in an evaluation.,"As multiple examined evaluation approaches apply different weights on metrics (or criteria) to reflect their varying importance, we have introduced Weight class.",W4401996679
widocznoœæ na przejazdach dla rowerzystów,metric,G∩B,False,Visibility,1,1,1,1.00,InfrastructuralMetric,widocznoœæ na przejazdach dla rowerzystów,The requirement to maintain an unobstructed field of vision at intersections to prevent collisions.,"Do zagad- nieñ tych nale¿¹: prêdkoœæ do projektowania na trasach dla ro- werów, poszerzenie dróg dla rowerów na ³ukach, skrajnia dróg dla rowerów, jak równie¿ widocznoœæ na przejazdach dla ro- werzystów.",W3149601746
Width of bicycle paths,metric,G∩B,False,Spaciousness,1,1,1,1.00,Cycling infrastructure | InfrastructuralMetric,Width of bicycle paths,"This indicator assesses the width of cycle paths, with wider paths being preferred for comfort and maintenance.","Wider paths allow parents and/or children to cycle alongside each other, an option many parents may prefer (Ghekiere et al.",W4402615958
Willingness to Bike,metric,G∖B,False,Suitability,1,0,1,1.00,,Willingness to Bike,The propensity or likelihood of an individual to choose cycling as a transport mode.,"[31], who used a 360-degree immersive virtual reality (VR) cycling simulator to assess the Perceived Level of Safety (PLOS) and Willingness https://doi.",W7118196403
access sheds,metric_group,G∩B,True,,1,3,1,1.00,Access Sheds and Networks | ContextualMetric,access sheds | pedestrian sheds | walk sheds,An access shed is the geographic area around a transit stop or station that a person would reasonably travel to reach it.,Access Sheds An access shed is defined as the area around a focal point to which a person would reasonably travel.,W2758447314
Additional Services,metric_group,B∖G,True,,1,1,0,1.00,,Additional Services,A category of optional criteria that facilities can choose to implement to earn points toward certification.,"While the mandatory criteria are not scored, a minimum required score must be obtained from the additional services component —25 points for holiday villages and 4 - or 5-star hotels, and 10 points for other facilities—to qualify for the “Bicycle-Friendly Accommodation Facility” certificate.",W4408037045
Bicycle Flow,metric_group,G∩B,False,ModeMetric,1,1,1,1.00,,Bicycle Flow | bicycle flow,A category of variables related to the movement characteristics of bicycles and their impact on user perception.,"The first two groups included the variables whose effects planners could have more control over, namely bicycle flow and infrastructure.",W3015673663
Bicycle Safety Index (BSI),metric_group,B∖G,True,,1,1,0,1.00,,Bicycle Safety Index (BSI),A safety evaluation method that uses quantitative models to assess risks related to infrastructure design and traffic.,"Lastly, the BSI considers only safety when evaluating the infrastructure through various variables.",W4406598183
bicycle sharing systems,metric_group,G∖B,True,,1,0,1,1.00,InfrastructuralMetric,bicycle sharing systems,Indicators related to the availability and performance of shared bicycle services.,The introduction of electrical assistance in shared systems (E-BSS) is seen as a nat- ural evolutionary process of BSS [34].,W3129869580
Comfort and Sense of Place,metric_group,B∖G,True,,1,1,0,1.00,,Comfort and Sense of Place,A thematic category for indicators related to passenger comfort and the aesthetic/cultural quality of the station area.,"Comfort and Sense of Place Beyond safety and security, rider comfort is an important consideration for all transit riders.",W2758447314
Composite Metrics,metric_group,B∖G,True,,1,1,0,1.00,thematic metric classes,Composite Metrics,"Composite metrics represent complex measurements, often based on theoretical frameworks, that combine multiple factors.","• Composite Metrics represent some of the more complex metrics, e.g., based on Space Syntax theory ( Soltani et al., 2022 ).",W4401996679
Connectivity and urbanisation,metric_group,B∖G,True,,1,1,0,1.00,,Connectivity and urbanisation,This domain covers the spatial arrangement of streets and the density of population or activities that influence cycling feasibility.,"These indicators, categorised into four domains – Cycling Infrastructure, Connectivity and urbanisation, Safety, and Surrounding environment, can be further utilised to assess school bikeability in any given area.",W4402615958
Contextual Metrics,metric_group,B∖G,True,,1,1,0,1.00,thematic metric classes,Contextual Metrics,Contextual metrics incorporate external information like land-use or socio-economic conditions to analyze broader network implications.,"• Contextual Metrics incorporate external information, e.g., land-use mix, destination density, or noise pollution.",W4401996679
Cycle Infrastructure,metric_group,B∖G,True,,1,1,0,1.00,,Cycle Infrastructure,"This domain encompasses the physical supply, design, and quality of cycling-specific infrastructure and its integration with other transport modes.","Cycle Infrastructure The domain of Cycle Infrastructure comprises aspects related to the infrastructure and facilities, namely about the following objective criteria: availability, quantity, and typology; geometric design (layout and cross section-related features); multimodal features (interface an",W3129869580
economy,metric_group,B∖G,True,,1,1,0,1.00,,economy,A thematic category encompassing indicators related to the financial and economic outcomes of infrastructure projects.,"Sections 3 to 6 discuss the study results by theme: travel behaviour, safety, appr eciation of design, and economy.",W1925772252
Effective Wayfinding,metric_group,B∖G,True,,1,1,0,1.00,,Effective Wayfinding,"A thematic category for indicators related to signage, maps, and information that help users navigate to and through transit facilities.","If transit users cannot understand how to use a system, let alone get to or from a transit stop from their origin or destination, they will not use transit.",W2758447314
electric bicycles,metric_group,G∖B,True,,1,0,1,1.00,ModeMetric,electric bicycles,Indicators accounting for the presence and impact of electric-assist bicycles on network performance.,"On the other hand, in cities with a higher population density with a complex road network, the electric bicycle can be an excellent option, since it provides the cyclist the possibility of reducing effort to start the movement (e.",W3129869580
Elements of Eﬀective Public Cycle Parking,metric_group,B∖G,True,,1,1,0,1.00,,Elements of Eﬀective Public Cycle Parking,A framework of design principles used to guide the planning of public cycle parking facilities.,"Drawing on our review, we propose a number of tentative ‘elements’ for eﬀective public cycle parking planning practice: visibility, protection, accessibility, proximity, integration , and diversiﬁcation .",W4317438483
Exogenous Factors,metric_group,B∖G,True,,1,1,0,1.00,,Exogenous Factors,A category of external variables that influence the cycling experience but are outside the direct control of planners.,Exogenous variables are external variables that are not only related to cycling.,W3015673663
Fundamental relationship,metric_group,B∖G,True,,1,1,0,1.00,Bicycle flow,Fundamental relationship,"The fundamental relationship is a concept used to relate speed, density, and flow for traffic modeling.","The fundamental relationship is a useful concept to relate key variables such as speed, density and ﬂow, which can then be used as tools for LOS estimations and macroscopic traﬃc modeling [32].",W3015673663
Graph Metrics,metric_group,B∖G,True,,1,1,0,1.00,thematic metric classes,Graph Metrics,Graph metrics assess the connectivity and efficiency of the network from a structural perspective.,"We also introduced six evalua - tion metric subclasses: InfrastructuralMetric , ContextualMetric , MorphologicalMetric , ModeMetric , GraphMetric and CompositeMetric : • Graph Metrics refer to typical centrality measures such as between - ness or degree centrality.",W4401996679
Infrastructural Metrics,metric_group,B∖G,True,,1,1,0,1.00,thematic metric classes,Infrastructural Metrics,Infrastructural metrics refer to the physical properties of the network infrastructure.,"• Infrastructural Metrics refer to network physical properties like signage, pavement, or bike facility types.",W4401996679
Infrastructure for high-level bicycle tourism,metric_group,B∖G,True,,1,1,0,1.00,,Infrastructure for high-level bicycle tourism,A category encompassing physical road elements and facilities designed to support high-quality cycling experiences.,"The chapter “Infrastructure for high-level bicycle tourism” deals with relevant road infrastructure elements like different types of tracks, intersections and roundabouts, route signposting, bicycle parking, shelters for cyclists, lighting and maintenance.",W3206354380
Infrastructure for information,metric_group,B∖G,True,,1,1,0,0.00,,Infrastructure for information,"This category includes maps, apps, and digital platforms that provide information to cyclists.",Infrastructure for information,W1965352281
Infrastructure for tourism,metric_group,B∖G,True,,1,1,0,0.00,,Infrastructure for tourism,This category focuses on routes designed for recreational cycling and holiday travel.,Infrastructure for tourism,W1965352281
Infrastructure for transport of goods by bicycle and taxi bikes,metric_group,B∖G,True,,1,1,0,1.00,,Infrastructure for transport of goods by bicycle and taxi bikes,This category covers infrastructure supporting cargo delivery by bike and taxi-bike services.,1 Infrastructure for transport of goods by bicycle and taxi bikes This is a big issue in most European cities is transferring goods by bike and taxi-bikes.,W1965352281
Infrastructure that supports bicycle users,metric_group,B∖G,True,,1,1,0,1.00,,Infrastructure that supports bicycle users,"This category includes retail, repair, and physical aids like ramps to assist cyclists.","4 Infrastructure that supports bicycle users An important component of the cycling infrastructure is the infrastructure that supports cycling, either directly or indirectly.",W1965352281
Institutional support,metric_group,B∖G,True,,1,1,0,0.00,,Institutional support,This category covers administrative bodies like bicycle offices that manage networks and promote cycling culture.,Institutional support,W1965352281
intermodality,metric_group,G∖B,False,ModeMetric,1,0,1,1.00,ModeMetric,intermodality,"The integration of different transport modes, specifically cycling and public transport, for a single journey.",The chap- ter “Transport services and intermodality” addresses public transport use for transfers to origin and from final destination of bicycle tours.,W3206354380
Macro-attributes or factors,metric_group,B∖G,True,,1,1,0,1.00,,Macro-attributes or factors,"This group encompasses external elements such as infrastructure, comfort, and safety that influence user choices.","Identification of Analytical Macro-Categories The selected studies were then classified across five analytical dimensions: • Macro-attributes or factors (environment, infrastructure, comfort, safety, etc.",W7118196403
Mandatory Services,metric_group,B∖G,True,,1,1,0,1.00,,Mandatory Services,A category of essential criteria that an accommodation facility must fulfill to qualify for certification.,"If a facility fully meets these mandatory criteria, the second phase involves evaluating t he 21 additional service criteria.",W4408037045
MeasurementScale,metric_group,B∖G,True,,1,1,0,1.00,,MeasurementScale,"Measurement scale defines the type of data (nominal, ordinal, interval, or ratio) used by a metric.","Further, evaluation metrics vary in terms of their measurement scales — an established character - istic, rooted in measurement theory.",W4401996679
Modal interaction,metric_group,B∖G,True,,1,1,0,1.00,Bicycle flow,Modal interaction,Modal interaction measures how different transport modes interact on road facilities and affect cyclist comfort.,Modal Interaction Modal interaction is deﬁned as how diﬀerent transport modes interact on road facilities.,W3015673663
Mode Metrics,metric_group,B∖G,True,,1,1,0,1.00,thematic metric classes,Mode Metrics,"Mode metrics measure the interactions between different transport modes, such as cars and bikes.","• Mode Metrics refer to measures related to particular transport modes and their interactions, like car volume or car and bike travel time difference.",W4401996679
Morphological Metrics,metric_group,B∖G,True,,1,1,0,1.00,thematic metric classes,Morphological Metrics,Morphological metrics relate to the geometric configuration and physical properties of the bike network.,"• Morphological Metrics relate to the geometric configuration and properties of the bike network, like topography, bike lane density, or route angular shift.",W4401996679
movement and place,metric_group,G∩B,True,,1,1,1,1.00,,movement and place,A strategy that balances the function of streets as conduits for travel with their role as spaces for social and economic interaction.,"Additionally, a notable emerging trend was ident - ified, though it lies beyond the scope of the current study: many reviewed plans incorporated a ‘move - ment and place’ strategy (also referred to as ‘link and place’) that explicitly highlights the importance of city streets as spaces for social an",W7152735000
Parking,metric_group,B∖G,True,,1,1,0,0.00,,Parking,"This category encompasses the provision of secure, sheltered or unsheltered bicycle parking.",Parking,W1965352281
Qualitative design standards,metric_group,B∖G,True,,1,1,0,1.00,,Qualitative design standards,A set of criteria focused on the functional and design characteristics of bicycle parking facilities.,"We focus on both qualitative design standards and the number of bicycle parking spaces required, and we define the number of parking spaces as the number of parkable bicycles.",W4393006393
ScoringFunction,metric_group,B∖G,True,,1,1,0,1.00,,ScoringFunction,A scoring function is a method used to unify metrics with diverse measurement scales into a comparable format.,"Further, given that most evaluation approaches include a mix of metrics with diverse measurement scales that are typically unified by employing scoring functions, we introduced a class MeasurementScale with four instances: nominal , ordinal , interval and ratio .",W4401996679
shared space,metric_group,G∖B,False,TrafficCondition,1,0,1,1.00,,shared space,An urban design approach that removes traditional separation between road users to encourage mixed traffic and lower speeds.,"Shared space cuts across the general notion that cyclists preferably can use dedicated inf rastructure, which was fed by the results of most of the early studies.",W1925772252
space syntax,metric_group,G∖B,True,,1,0,1,1.00,MorphologicalMetric,space syntax,A set of techniques for analyzing the spatial configuration of urban networks and its impact on movement flows.,This research is one of the few examples of applying space syntax analysis in the assessment of bikeability.,W3129869580
смуга безпеки,metric_group,G∩B,False,InfrastructuralMetric,1,1,1,0.00,,велосипедна інфраструктура | смуга безпеки,A buffer zone intended to protect cyclists from hazards such as opening car doors.,В чинних ДБН передбачена смуга безпеки між припаркованими автомобілями й велосипедною смугою для запобігання травмування велосипедиста дверцятами автомобіля,W4212924624
Accueil Vélo,other,B∖G,True,,1,1,0,1.00,,Accueil Vélo,A French national accreditation program that guarantees a high standard of hospitality for cyclists.,"Accueil Vélo: Accueil Vélo is a national accreditation program in France, administered by France Vélo Tourisme.",W4408037045
alignment within the SBBL,other,B∖G,True,,1,1,0,1.00,design parameters,alignment within the SBBL,The lateral positioning of the bicycle path or space relative to the bus lane.,"This paper presents an analysis of design guidelines for SBBLs applied in Europe, North America and Australia, showing that the type of cycling infrastructure, the alignment within the SBBL and the lane width , are the parameters that should be considered to ensure safety and efficiency of these two",W2777700178
Bett+Bike,other,B∖G,True,,1,1,0,1.00,,Bett+Bike,A long-standing German certification scheme for bicycle-friendly accommodations used across several European countries.,"Bett+Bike: Bett+Bike is a certification granted by the German Cyclists’ Association (ADFC) for more than 25 years to accom modation facilities in Germany and several other European countries (including Denmark, Belgium, Italy, etc.",W4408037045
Bicycle parking requirements,other,G∩B,True,,1,1,1,1.00,,Bicycle parking requirements | bicycle parking requirements,Mandatory standards in building codes that dictate the quantity and quality of bicycle storage facilities required for new or renovated buildings.,Introduction Bicycle parking requirements in building codes regulate the amount and quality of parking facilities that must be provided when a new building is constructed or when the use of an existing building is changed.,W4393006393
Bike Friendly,other,B∖G,True,,1,1,0,1.00,,Bike Friendly,A Greek certification label awarded to tourism stakeholders including accommodation facilities and municipalities.,"As pa rt of this initiative, the “Bike Friendly” label is awarded to various tourism stakeholders such as accommodation facilities and municipalities (NatTour, 2024).",W4408037045
Colored overlay,other,B∖G,True,,1,1,0,1.00,,Colored overlay,Applying a colored layer on top of an existing pavement surface.,There are two basic methods of achieving a colored bicycle provision: coloring the wearing/ surface course at the time of the manufacture or applying a colored overlay on top of an existing pavement.,W3165427569
Crime Prevention Through Environmental Design (CPTED),other,B∖G,True,,1,1,0,1.00,Personal Safety and Security,Crime Prevention Through Environmental Design (CPTED),Design techniques that create an environment conducive to safety and discourage criminal activity.,"Crime Prevention Through Environmental Design (CPTED) techniques, which focus on how design choices can create environment conducive to safety (and not conducive to crime), can be used when making decisions about access to transit stops, stations, including surrounding areas (Cozens and Lowe, 2015; ",W2758447314
Cyclists Welcome,other,B∖G,True,,1,1,0,1.00,,Cyclists Welcome,A British certification program administered by Cycling UK for various tourism businesses including accommodations.,"Cyclists Welcome: In Great Britain, the Cyclists Welcome program is administered by Cycling UK, one of the country’s leading cycling organizations (Cycling UK, 2024).",W4408037045
evaluation approach,other,B∖G,True,,1,1,0,1.00,,evaluation approach,"An evaluation approach is a research paper, guideline, or tool that assesses bike networks using a combination of metrics and qualitative criteria.","First, we introduced the EvaluationMethod class to represent each eval - uation method (a research paper, a guideline, or a tool) that evaluates bike networks based on a combination of metrics and qualitative criteria.",W4401996679
GIS (Geographic Information System),other,B∖G,True,,1,1,0,1.00,,GIS (Geographic Information System),A technological tool used to map and analyze geospatial data for urban indicators.,"The census tract was the most used unit of the analysis found in the papers, which used GIS (Geographic Informa- tion System) data besides self-reported information on environmental characteristics.",W4283793738
hook turn storage box,other,B∖G,True,,1,1,0,1.00,Infrastructure,hook turn storage box,A designated area within an intersection that allows cyclists to perform two-stage left turns.,"In the ﬁrst stage, they proceed on the green signal in the nearside lane straight partway through the intersection to access turn queue box, also known as hook turn storage box, where they turn their bikes through 90 /C14 to face the exit arm and wait for the trafﬁc signals to allow them a second ah",W3165427569
individual and social,other,B∖G,True,,1,1,0,1.00,,individual and social,This component considers how personal characteristics and social dynamics influence accessibility.,"Finally, the individual and social component represents differences in needs, abilities, and oppor- tunities, as well as the influence of social networks and household dynamics (Geurs & van Wee, 2025; Heinen et al.",W7158934745
Interested but Concerned,other,G∩B,True,,1,1,1,1.00,,Interested but concerned | Interested but Concerned,A population cohort that is willing to cycle but is deterred by perceived safety risks and traffic concerns.,"This paper examines strategies for engaging the ‘Interested but Concerned’ cohort; individuals willing to cycle if safety concerns are addressed, through a literature review of international and domestic bicycle planning documents.",W7152735000
post-certification inspections,other,G∖B,True,,1,0,1,1.00,,post-certification inspections,Ongoing or periodic assessments conducted after the initial certification to ensure continued compliance with standards.,"However, the study also identifies challenges in post-certification inspections and international visibility, which may limit the model's impact.",W4408037045
Quality Plus,other,B∖G,True,,1,1,0,1.00,Bett+Bike,Quality Plus,An advanced level of certification within the Bett+Bike program requiring additional criteria beyond the basic standard.,"To receive the basic Bett+Bike quality certificate for hotels, applicants must fulfill the following minimum criteria: Guests also accepted for one night only Lockable room to store bicycles overnight Extra room for drying clothes and equipment A wholesome breakfast Information about regional touris",W4408037045
Shared bus-bike lanes (SBBLs),other,B∖G,True,,1,1,0,1.00,,Shared bus-bike lanes (SBBLs),A bus lane where cyclists are permitted to travel alongside buses.,SHARED BUS-BIKE LANES A shared bus-bike lane (SBBL) is a bus lane in which bicyclists are allowed.,W2777700178
Surface course coloring,other,B∖G,True,,1,1,0,1.00,,Surface course coloring,Coloring the pavement material itself during the manufacturing or pouring process.,There are two basic methods of achieving a colored bicycle provision: coloring the wearing/ surface course at the time of the manufacture or applying a colored overlay on top of an existing pavement.,W3165427569
temporal,other,B∖G,True,,1,1,0,1.00,,temporal,This component accounts for how accessibility changes based on time-dependent factors.,"The temporal component reflects time-depen- dent variations in opportunity and travel availability (Geurs & van Wee, 2004).",W7158934745
threshold values,other,B∖G,True,,1,1,0,1.00,,threshold values,Specific numerical limits for traffic speed or volume that dictate which type of cycling infrastructure must be implemented.,"A core strategy found in European cycling guidelines is the use of threshold values to determine whether mixed traffic, advisory lanes, or segregated paths should be applied [1,2].",W4416332193
transport,other,B∖G,True,,1,1,0,1.00,,transport,This component measures the difficulty or cost of traveling between locations.,"The transport component captures the disutility of travel, related to time, cost, comfort, reliability, and safety (Geurs & van Wee, 2004).",W7158934745
Universal Design,other,G∩B,False,Accessibility,1,1,1,1.00,,Universal Design | universal design,"A design approach that aims to make environments accessible and usable by the widest range of people, regardless of age or ability.","The goal of universal design is to design for as wide a range of users so that as many people as possible, regardless of age or ability can access spaces and products.",W2758447314
census tract,representation_feature,G∩B,False,Area,1,1,1,1.00,,census tract,The geographic boundary used as the primary unit for aggregating data to calculate bikeability.,"The census tract was the most used unit of the analysis found in the papers, which used GIS (Geographic Informa- tion System) data besides self-reported information on environmental characteristics.",W4283793738
cycle network,representation_feature,B∖G,True,,1,1,0,1.00,,cycle network,A cycle network is an interconnected set of safe and direct cycling routes covering a given area or city.,"In Prestos’ Cycling Policy Guide Infrastructure [5], the definition of cycle networks can be found: “a cycle network is an interconnected set of safe and direct cycling routes covering a given area or city”.",W1965352281
unit of analysis,representation_feature,B∖G,True,,1,1,0,1.00,,unit of analysis,"The unit of analysis defines the geographical scope of the assessment, ranging from street segments to entire cities.","The unit of analysis for developing the index varied across studies, from street segments or bicycle lanes to zones within the city or even the entire city.",W4392992203
non-mandatory criteria (“nice to have”),scoring,B∖G,True,,1,1,0,1.00,,non-mandatory criteria (“nice to have”),Desirable quality standards that improve a route but are not strictly required for baseline quality assessment.,"Therefore, two categories of criteria were defined: strictly mandato- ry criteria (“must have”) and non-mandatory criteria (“nice to have”).",W3206354380
points-based evaluation system,scoring,G∩B,True,,1,1,1,1.00,Additional Services,points-based evaluation system,A quantitative method used to assess a facility's eligibility for certification by summing points earned from optional service criteria.,"While all systems feature mandatory components such as secure parking, repair tools, and tailored nutritional services, the Turkish model stands out with its state -led, legally grounded framework and its points-based evaluation system, which is designed to encourage service enhancements.",W4408037045
strictly mandatory criteria (“must have”),scoring,B∖G,True,,1,1,0,1.00,,strictly mandatory criteria (“must have”),"Essential quality standards that must be met for a route to be considered acceptable, which cannot be offset by other positive features.","Therefore, two categories of criteria were defined: strictly mandato- ry criteria (“must have”) and non-mandatory criteria (“nice to have”).",W3206354380
threshold,threshold,G∖B,True,,1,0,1,1.00,,threshold,A specific value of a metric used to determine the requirement for a specific type of infrastructure.,"A core strategy found in European cycling guidelines is the use of threshold values to determine whether mixed traffic, advisory lanes, or segregated paths should be applied [1,2].",W4416332193
Analytic Hierarchy Process,weighting,G∖B,True,,1,0,1,1.00,,Analytic Hierarchy Process,"A structured technique for organizing and analyzing complex decisions, used here to weight bikeability indicators.","The weighting methods include an equal weight system, survey-based and literature review-based methods, expert surveys, the analytic hierarchy process, and a weighted linear combination model.",W4392992203
